emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
65,90,203,925,811,171,69,60
63,87,198,912,854,181,69,58
71,104,233,887,874,172,81,69
64,95,225,850,971,177,78,63
53,85,183,762,982,178,77,58
63,100,205,751,906,209,88,64
83,121,246,880,1044,251,101,80
82,115,242,898,1058,258,98,77
90,126,269,972,1045,297,104,85
96,134,297,1057,1104,333,107,90
100,151,337,1142,1084,338,108,98
100,155,340,1146,949,334,103,94
106,170,390,1176,957,325,106,97
103,167,382,1131,977,299,106,95
109,181,391,1105,975,258,106,99
105,165,357,1088,983,250,102,95
92,150,341,988,997,260,101,92
81,127,263,947,1013,263,92,83
90,126,269,972,1045,297,104,85
96,134,297,1057,1104,333,107,90
100,151,337,1142,1084,338,108,98
100,155,340,1146,949,334,103,94
106,170,390,1176,957,325,106,97
103,167,382,1131,977,299,106,95
109,181,391,1105,975,258,106,99
105,165,357,1088,983,250,102,95
92,150,341,988,997,260,101,92
81,127,263,947,1013,263,92,83
80,125,248,899,961,307,89,79
66,94,192,856,965,357,94,76
68,94,200,844,1129,345,90,75
69,94,179,866,1111,316,85,72
67,95,199,966,1101,343,93,72
64,88,196,1051,1081,301,90,73
66,92,218,1107,1031,277,79,67
62,86,199,1052,886,307,76,61
64,91,205,1022,899,326,80,66
68,97,205,941,838,303,68,67
70,100,202,892,856,297,67,67
66,96,182,875,881,306,64,66
60,91,187,877,890,273,69,63
59,92,199,890,895,246,66,57
58,95,219,884,977,271,69,56
60,96,245,992,975,278,73,57
62,97,250,929,937,243,77,60
70,107,279,1055,902,280,74,63
71,107,270,1023,889,299,78,69
69,99,255,993,800,277,77,67
70,100,202,892,856,297,67,67
66,96,182,875,881,306,64,66
60,91,187,877,890,273,69,63
59,92,199,890,895,246,66,57
58,95,219,884,977,271,69,56
60,96,245,992,975,278,73,57
62,97,250,929,937,243,77,60
70,107,279,1055,902,280,74,63
71,107,270,1023,889,299,78,69
69,99,255,993,800,277,77,67
65,97,255,853,869,296,71,64
64,96,250,860,864,315,67,59
54,80,210,749,866,291,67,55
49,71,201,731,807,268,63,52
45,65,170,772,801,271,61,48
42,62,139,803,698,271,69,50
43,66,141,758,690,259,71,52
54,74,161,686,658,327,74,58
51,74,175,743,663,337,71,52
56,77,181,715,638,348,75,57
58,82,184,665,697,330,78,59
55,78,188,729,808,335,72,54
45,72,169,752,774,254,67,46
43,66,151,718,806,239,64,45
40,65,147,673,826,250,61,41
36,61,136,735,825,250,50,37
38,60,134,770,705,242,55,40
39,57,132,777,754,273,65,44
39,61,152,845,717,270,65,45
37,59,149,865,733,246,64,42
58,82,184,665,697,330,78,59
55,78,188,729,808,335,72,54
45,72,169,752,774,254,67,46
43,66,151,718,806,239,64,45
40,65,147,673,826,250,61,41
36,61,136,735,825,250,50,37
38,60,134,770,705,242,55,40
39,57,132,777,754,273,65,44
39,61,152,845,717,270,65,45
37,59,149,865,733,246,64,42
37,55,152,846,682,253,66,42
40,62,166,902,805,262,73,46
38,60,166,879,835,270,62,41
49,72,173,856,936,303,70,49
50,75,185,886,897,290,74,52
58,89,209,909,866,277,72,54
55,87,193,772,833,270,68,51
61,94,206,735,785,230,69,56
53,83,190,692,703,205,59,46
53,82,183,711,739,215,58,47
45,63,150,638,759,229,56,43
